folder,Lyrics
21 Savage - Bank Account,"[Intro]
Ooh, ooh, oh, oh, oh, ow, ow
Wow, wow, wow, ah, ow,  ow, ow

[Verse 1]
I buy a new car for the bitch (For real)
I tear down the mall with the bitch (For real)
You can't even talk to the bitch (No)
She fucking with bosses and shit (On God)
I pull up in 'Rari's and shit (Skrrr)
With choppers and Harley's and shit (For real)
I be Gucci'd down (Gucci)
You wearing Lacoste and shit (Bitch)
Yeah, Moncler, yuh, fur came off a bear, yuh (Yeah)
Triple homicide, put me in a chair, yuh (In jail)
Triple cross the plug, we do not play fair, yuh (On God)
Got 'em tennis chains on and they real blingy (Bling)
Draco make you do the chicken head like Chingy (Chingy)
Walk in Neiman Marcus and I spend a light fifty (Fifty)
Please proceed with caution, shooters, they be right with me (21)
Bad bitch, cute face and some nice titties
$7500 on a Saint Laurent jacket (Yeah)
Bitch, be careful when you dumpin' your ashes (Bitch)
I ain't no sucker, I ain't cuffin' no action (Nah)
The skreets raised me, I'm a whole bastard (Wild)
I bought a 'Rari just so I can go faster (Skrrr)
Niggas tryna copy me, they playin' catch up (21)
I might pull up in a Ghost, no Casper (21)
I been smoking gas and I got no asthma
See 21 Savage LiveGet tickets as low as $59You might also like[Chorus]
I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah (Fast)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)

[Verse 2]
Yeah, dawg, huh—yeah—, nah for real, dawg (21)
Straight up out the 6, now got a house in the Hills, dawg (21)
Wanna see a body, nigga? Get you killed, dawg (Wet)
Wanna tweet about me, nigga? Get you killed, dawg (Wet)
Killed dog, I'm a real dawg—21—, you a lil' dawg (21)
Bill dog, want a bil', dog, chasing mil's, dawg (Yeah)
Dunk right in your bitch like O'Neal, dawg (Wet)
Plus I shoot like Reggie Mill', dawg (21)
Chopper sting you like a eel, dawg (Fast)

[Chorus]
I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah (Fast)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
[Verse 3]
Ruler clip—umm—, sent a ruler hit
Pull up on yo' bitch, she say that I got a ruler dick
Spray your block down, we not really with that ruh-rah shit
Glock cocked now, I don't really give no fuck 'bout who I hit
Yeah, yo' bitch, she get jiggy with me, keep that Siggy with me
Bitch, I'm Mad Max, you know I got Ziggy with me
Keep a mad mag in case a nigga wanna get busy with me
'Rari matte black and I got a Bentley with me

[Chorus]
I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
In my bank account, yeah (On God)
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah (Fast)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)
Ready to gun you down, yeah (On God)

[Outro]
$7500 on a Saint Laurent jacket
Bitch, be careful where you dumpin' your ashes
I ain't no sucker, I ain't cuffin' no action
The streets raised me, I'm a whole bastard173Embed"
A Boogie Wit da Hoodie - Drowning ,"[Intro: A Boogie Wit Da Hoodie]
I'm drownin'
I'm drownin'
I'm drownin'
I'm drownin'

[Chorus: A Boogie Wit Da Hoodie]
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'

[Verse 1: A Boogie Wit Da Hoodie]
I'm with all my niggas, I don't go nowhere without 'em
If they don't let us in they might throw shots at the bouncer
Actavis medicine, got it straight from out the doctor's
I'm with RJ but I call him Wayne 'cause he's a shotta
Pick up the ladder, put it in the gun, make the .9 stretch
Niggas with attitude, but we come straight out of Highbridge
I'm gon' make her panties wet when she see the way I flex
I'm gon' win a Grammy, move my family out the projects
We went from chillin' in the projects to makin' projects
We was tryna get to the top, and they tried to stop us
I talk for myself, bitch I don't need no fucking voucher
She looked at my wrist and she looked at a hundred thousand
You might also like[Chorus: A Boogie Wit Da Hoodie]
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'

[Verse 2: Kodak Black]
Just bought a brand new chain from Avianne
Nigga with attitude but I ain't from Compton
Lil Kodak, bitch, I'm Polo'd down like Carlton
Sniper Gang, I put a nigga on a carton
I'm the shit I'm fartin', I don't know how to potty
Pull up in a 'Rari, I'm in the Yo like Gotti
A Boogie, I'm goin' Scottie, nigga drop my deposit
I ain't Jamaican, bitch I'm Haitian, but I got them shottas
Harley Davidson every day, I'm ridin' with the chopper
They hatin', I know they don't wanna see a nigga prosper
I ain't doing trims, I'm in the cut like I'm a barber
She call me daddy, but I ain't her motherfucking father

[Chorus: A Boogie Wit Da Hoodie]
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
[Outro: A Boogie Wit Da Hoodie]
Bitch, I'm drownin'
Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'83Embed"
Adele - Hello,"[Verse 1]
Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

[Pre-Chorus]
There's such a difference between us
And a million miles
[Chorus]
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

[Verse 2]
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
You might also like[Pre-Chorus]
It's no secret that the both of us
Are running out of time
[Chorus]
So hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least, I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

[Bridge]
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Anymore
[Chorus]
Hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least, I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
[Produced by Greg Kurstin]
[Music Video]260Embed"
Adele - Send My Love ,"[Intro]
Just the guitar?
Okay, cool

[Verse 1]
This was all you, none of it me
You put your hands on, on my body and told me
Mmm, told me you were ready
For the big one, for the big jump
I'd be your last love, everlasting, you and me
Mmm, that was what you told me

[Pre-Chorus]
I'm giving you up
I've forgiven it all
You set me free

[Chorus]
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
You might also like[Verse 2]
I was too strong, you were trembling
You couldn't handle the hot heat rising (Rising)
Mmm, baby, I'm still rising
I was running, you were walking
You couldn't keep up, you were falling down (Down)
Mmm, there's only one way down

[Pre-Chorus]
I'm giving you up
I've forgiven it all
You set me free, oh

[Chorus]
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more

[Bridge]
If you're ready, if you're ready
If you're ready, I am ready
If you're ready, if you're ready
We both know we ain't kids no more
No, we ain't kids no more
[Pre-Chorus]
I'm giving you up
I've forgiven it all
You set me free

[Chorus]
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more

[Outro]
If you're ready, if you're ready
(Send my love to your new lover)
If you're ready, are you ready?
(Treat her better)
We've gotta let go of all of our ghosts
We both know we ain't kids no more
If you're ready, if you're ready
(Send my love to your new lover)
If you're ready, are you ready?
(Treat her better)
We've gotta let go of all of our ghosts
We both know we ain't kids no more60Embed"
Adele - When We Were Young,"[Verse 1]
Everybody loves the things you do
From the way you talk to the way you move
Everybody here is watching you
'Cause you feel like home, you're like a dream come true
But, if by chance, you're here alone
Can I have a moment before I go?
'Cause I've been by myself all night long
Hoping you're someone I used to know

[Pre-Chorus]
You look like a movie, you sound like a song
My God, this reminds me of when we were young

[Chorus]
Let me photograph you in this light in case it is the last time
That we might be exactly like we were before we realised
We were sad of getting old, it made us restless
It was just like a movie, it was just like a song

[Verse 2]
I was so scared to face my fears
Nobody told me that you'd be here
And I swear you'd moved overseas
That's what you said when you left me
You might also like[Pre-Chorus]
You still look like a movie, you still sound like a song
My God, this reminds me of when we were young

[Chorus]
Let me photograph you in this light in case it is the last time
That we might be exactly like we were before we realised
We were sad of getting old, it made us restless
It was just like a movie, it was just like a song

[Post-Chorus]
When we were young, when we were young
When we were young, when we were young

[Bridge]
It's hard to admit that everything just takes me back
To when you were there, to when you were there
And a part of me keeps holding on just in case it hasn't gone
'Cause I still care, do you still care?

[Break]
It was just like a movie, it was just like a song
My God, this reminds me of when we were young
(When we were young, when we were young)
(When we were young, when we were young)
[Chorus]
Let me photograph you in this light in case it is the last time
That we might be exactly like we were before we realised
We were sad of getting old, it made us restless
Oh, I'm so mad I'm getting old, it makes me reckless
It was just like a movie, it was just like a song
When we were young94Embed"
After School - DIVA,"[AFTERSCHOOL「Diva [Japan Ver.]」歌詞]

[Intro: Nana, Jooyeon, Raina and Uee]
I love my boy (Ooh yeah)
I love my boy (I love you my boy)
I love my boy (Duduru duru duru)
I love my boy (I love you my boy)
Everybody scream!

[Chorus]
Only one, make me burn
Check して そばにいるよ
キミの Diva diva di di di diva
Only one, make me burn
Hurry hurry チャンスは Once
Give me love diva diva di di di diva

[Verse 1: Raina, Nana, Jooyeon and JungAh]
100万年 待ってた 運命の出逢い
奇蹟の始まり いきなり Feel so hot
“偶然”って言わせない 何もかも理想
迷わないで Go 約束 Make it

[Pre-Chorus: Kahi]
I got ハートに秘めてる Master key
ふたりの Masterpiece
Dream match 魔法の Super tag team
You know we are destiny
更に燃える After this
Come on now 真っ直ぐ Look at me
Cherry jelly な Kiss は Sweet, boy
You are my favorite
You might also like[Chorus]
Only one, make me burn
Check して そばにいるよ
キミの Diva diva di di di diva
Only one, make me burn
Hurry hurry チャンスは Once
Give me love diva diva di di di diva

[Verse 2: Kahi, Uee and E-Young]
Just tell me what you wanna do
眠れない夜も
I don’t wanna let you go
夢の中 ヴーレ・ヴー
I just wanna get it done
最強のコラボ
情熱が起動する
避けられないの

[Pre-Chorus: Lizzy and Kahi]
I got big plan for you, love for you
I don’t give a damn what people say
愛があれば OK
No matter what, you are my man
Check you sign, check your eyes
Burn your L-O-V-E 重なる感情
You’re so perfect 本気の Passion
Come to me ねぇ 聴いてる? That’s your…
[Chorus]
Only one, make me burn
Check して そばにいるよ
キミの Diva diva di di di diva
Only one, make me burn
Hurry hurry チャンスは Once
Give me love diva diva di di di diva

[Bridge: JungAh and Raina]
キミのココロを 掴みたい
会えないときも 守りたい
もっと願いを叶えたい
キミがくれた トキメキだから

[Chorus]
Only one, make me burn
Check して そばにいるよ(Oh oh)
キミの Diva diva di di di diva
Only one, make me burn (Only one, make me burn)
Hurry hurry チャンスは Once
Give me love diva diva di di di diva
Only one, make me burn
Check して そばにいるよ
キミの Diva diva di di di diva
Only one, make me burn
Hurry hurry チャンスは Once
Give me love diva diva di di di diva
[Outro]
Na na na na na
Na na na na na
Na na na na na
Na na na na na
Diva diva di di di divaEmbed"
Alan Walker - Faded,"[Verse 1]
You were the shadow to my light
Did you feel us?
Another star, you fade away
Afraid our aim is out of sight
Wanna see us alight

[Pre-Chorus]
Where are you now?
Where are you now?
Where are you now?
Was it all in my fantasy?
Where are you now?
Were you only imaginary?

[Chorus]
Where are you now?
Atlantis, under the sea, under the sea
Where are you now? Another dream
The monster's running wild inside of me
I'm faded, I'm faded
So lost, I'm faded, I'm faded
So lost, I'm faded

[Verse 2]
These shallow waters never met what I needed
I'm letting go, a deeper dive
Eternal silence of the sea
I'm breathing, alive
See Alan Walker LiveGet tickets as low as $359You might also like[Pre-Chorus]
Where are you now?
Where are you now?
Under the bright but faded lights
You set my heart on fire
Where are you now?
Where are you now?

[Chorus]
Where are you now?
Atlantis, under the sea, under the sea
Where are you now? Another dream
The monster's running wild inside of me
I'm faded, I'm faded
So lost, I'm faded, I'm faded
So lost, I'm faded118Embed"
Alessia Cara - Here,"[Written by Alessia Cara & Sebastian Kole]
[Produced by Pop & Oak and Sebastian Kole]

[Intro: Isaac Hayes]
I guess right now you've got the last laugh

[Verse 1]
I'm sorry if I seem uninterested
Or I'm not listenin' or I'm indifferent
Truly I ain't got no business here
But since my friends are here, I just came to kick it
But really, I would rather be at home all by myself
Not in this room with people who don't even care about my well-being
I don't dance, don't ask, I don't need a boyfriend
So, you can go back, please, enjoy your party
I'll be here, somewhere in the corner
Under clouds of marijuana with this boy who's hollerin'
I can hardly hear
Over this music I don't listen to and I don't wanna get with you
So, tell my friends that I'll be over here

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh-oh-oh, I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here
You might also like[Verse 2]
Excuse me if I seem a little unimpressed with this
An anti-social pessimist, but usually I don't mess with this
And I know you mean only the best
And your intentions aren't to bother me, but honestly, I'd rather be
Somewhere with my people, we can kick it and just listen to
Some music with a message, like we usually do
And we'll discuss our big dreams, how we plan to take over the planet
So, pardon my manners, I hope you'll understand that I'll be here
Not there in the kitchen
With the girl who's always gossipin' about her friends
So, tell them I'll be here
Right next to the boy who's throwin' up
'Cause he can't take what's in his cup no more
Oh God, why am I here?

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh-oh-oh, I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here
[Bridge]
Hours later, congregatin' next to the refrigerator
Some girl talkin' 'bout her haters, she ain't got none
How did it ever come to this? I should've never come to this
So holla at me, I'll be in the car when you're done
I'm stand-offish, don't want what you're offerin'
And I'm done talkin', awfully sad it had to be that way
So tell my people when they're ready that I'm ready
And I'm standin' by the TV with my beanie low
Yo, I'll be over here
[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh-oh-oh, I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait till we can break up out of here407Embed"
Alok - Hear Me Now,"Ed Sheeran - Shape of You
Luis Fonsi & Daddy Yankee - Despacito (Remix) feat. Justin Bieber
Luis Fonsi & Daddy Yankee - Despacito
The Chainsmokers & Coldplay - Something Just Like This
DJ Khaled - I'm the One feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne
Kendrick Lamar - HUMBLE.
Kygo & Selena Gomez - It Ain't Me
French Montana - Unforgettable feat. Swae Lee
Bruno Mars - That's What I Like
ZAYN & Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker)
Lil Uzi Vert - XO TOUR Llif3
The Chainsmokers - Paris
Zedd & Alessia Cara - Stay
Charlie Puth - Attention
Future - Mask Off
Post Malone - Congratulations feat. Quavo
Jason Derulo - Swalla feat. Nicki Minaj & Ty Dolla $ign
Ed Sheeran - Castle on the Hill
Clean Bandit - Rockabye feat. Sean Paul & Anne-Marie
Imagine Dragons - Believer
J Balvin & Willy William - Mi Gente
Imagine Dragons - Thunder
James Arthur - Say You Won't Let Go
Shawn Mendes - There's Nothing Holdin' Me Back
Danny Ocean - Me Rehúso
Julia Michaels - Issues
Ed Sheeran - Galway Girl
Martin Garrix & Dua Lipa - Scared to Be Lonely
The Chainsmokers - Closer feat. Halsey
Clean Bandit - Symphony feat. Zara Larsson
The Weeknd - I Feel It Coming feat. Daft Punk
The Weeknd - Starboy feat. Daft Punk
DJ Khaled - Wild Thoughts feat. Rihanna & Bryson Tiller
Calvin Harris - Slide feat. Frank Ocean & Migos
Dua Lipa - New Rules
Logic - 1-800-273-8255 feat. Alessia Cara & Khalid
Drake - Passionfruit
Post Malone - rockstar feat. 21 Savage
Liam Payne - Strip That Down feat. Quavo
David Guetta - 2U feat. Justin Bieber
Ed Sheeran - Perfect
Starley - Call On Me (Ryan Riback Remix)
Calvin Harris - Feels feat. Pharrell Williams, Katy Perry & Big Sean
Jonas Blue - Mama feat. William Singe
Maluma - Felices los 4
KYLE - iSpy feat. Lil Yachty
Khalid - Location
Shakira - Chantaje feat. Maluma
Migos - Bad and Boujee feat. Lil Uzi Vert
Camila Cabello - Havana feat. Young Thug
Martin Jensen - Solo Dance
Drake - Fake Love
DJ Snake - Let Me Love You feat. Justin Bieber
Axwell /\ Ingrosso - More Than You Know
Drake - One Dance feat. WizKid & Kyla
Enrique Iglesias - SUBEME LA RADIO feat. Descemer Bueno & Zion & Lennox
Maggie Lindemann - Pretty Girl (Cheat Codes X CADE Remix)
Demi Lovato - Sorry Not Sorry
Childish Gambino - Redbone
Bruno Mars - 24K Magic
Kendrick Lamar - DNA.
Nicky Jam - El Amante
Jax Jones - You Don't Know Me feat. RAYE
Katy Perry - Chained To The Rhythm feat. Skip Marley
Cheat Codes - No Promises feat. Demi Lovato
Maroon 5 - Don't Wanna Know feat. Kendrick Lamar
Alessia Cara - How Far I'll Go
Niall Horan - Slow Hands
Wisin - Escápate Conmigo feat. Ozuna
Big Sean - Bounce Back
Harry Styles - Sign of the Times
Travis Scott - goosebumps
Khalid - Young Dumb & Broke
Martin Garrix & Troye Sivan - There for You
Maroon 5 - Cold feat. Future
Marshmello - Silence feat. Khalid
Sam Smith - Too Good At Goodbyes
Steve Aoki - Just Hold On feat. Louis Tomlinson
Taylor Swift - Look What You Made Me Do
Macklemore - Glorious feat. Skylar Grey
Hailee Steinfeld & Grey - Starving feat. Zedd
CNCO - Reggaetón Lento (Bailemos)
AJR - Weak
Ariana Grande - Side To Side feat. Nicki Minaj
Zion & Lennox - Otra Vez feat. J Balvin
Lauv - I Like Me Better
Martin Garrix & Bebe Rexha - In the Name of Love
Major Lazer - Cold Water feat. Justin Bieber & MØ
Miley Cyrus - Malibu
The Vamps & Matoma - All Night
Alok - Hear Me Now feat. Bruno Martini & Zeeba
Rita Ora - Your Song
Chris Jeday - Ahora Dice feat. J Balvin, Ozuna & Arcangel
Justin Bieber & BloodPop® - Friends
21 Savage - Bank Account
Machine Gun Kelly - Bad Things feat. Camila Cabello
The Chainsmokers - Don't Let Me Down feat. Daya
Sam Hunt - Body Like A Back Road
Halsey - Now Or Never
ZAYN - Dusk Till Dawn feat. SIaEmbed"
Alpines - Alright,"[Verse 1]
If you know that
I feel the way I do
Why did you walk out
And say the things that you
If you know that
Time is short
Why you wasting it
What did you do that for?

[Pre-Chorus]
‘Cause we’ve got each other
And there’s no mistaking
It wasn’t easy
But we found our faith
‘Cause we’ve got each other
And there’s no mistaking
It's not been easy
But we found this place

[Chorus]
I’ve been loving you what feels like my whole life, my whole life
And I’ll be tearing up these streets just to tell you it’s alright
It’s alright, it’s alright, it’s alright
It's alright, it’s alright, it’s alright
It's alright
You might also like[Verse 2]
If you feel that
And I know you do
Why you hiding it?
Scared of the truth?
Oh look how
Far we’ve come
Can you see now
That we have won?

[Pre-Chorus]
‘Cause we’ve got each other
And there’s no mistaking
It's not been easy
But we found this place

[Chorus]
'Cause I’ve been loving you what feels like my whole life, my whole life
And I’ll be tearing up these streets just to tell you it’s alright
It’s alright, it’s alright, it’s alright
It's alright, it’s alright, it’s alright
It's alright

[Bridge]
What if all I’ve got to give you
Is not enough to give?
What if I know my heart’s true
And I know you think it is
What if all I’ve got to give you
Is not enough to give?
What if I know my heart’s true
And I know you think it is
[Chorus]
'Cause I’ve been loving you what feels like my whole life, my whole life
And I’ll be tearing up these streets just to tell you it’s alright
It’s alright, it’s alright, it’s alright
It's alright, it’s alright, it’s alright
It's alright
It’s alright, it’s alright, it’s alright
It's alright, it’s alright, it’s alright
It's alright

[Outro]
‘Cause I’ll be loving you what could be my whole life, my whole life
And I’ll be tearing up these streets just to tell you it’s alrightEmbed"
