track_name,artist_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,genres,loudness_scaled,popularity_metric,popularity_category
Blinding Lights,The Weeknd,0.514,0.73,0.0598,0.00146,9.54e-05,0.0897,0.334,0.7737833835469541,4,2020,"Pop,Jazz",0.7874875868917577,91.0,Popular_Forever
Dance Monkey,Tones And I,0.824,0.587,0.0937,0.69,0.000105,0.149,0.514,0.2414266017901825,4,2021,Pop,0.7565706719629263,78.0,Semi_Popular
The Box,Roddy Ricch,0.896,0.586,0.0559,0.104,0.0,0.79,0.642,0.3796076772127429,4,2019,Rap,0.7376365441906654,86.0,Popular_Forever
Roses - Imanbek Remix,"SAINt JHN, Imanbek",0.785,0.721,0.0506,0.0149,0.00432,0.285,0.894,0.4160168075809194,4,2019,"Pop,Rap",0.8190665342601788,58.0,Not_so_popular
Dont Start Now,Dua Lipa,0.793,0.793,0.083,0.0123,0.0,0.0951,0.679,0.43051918208942164,4,2020,Pop,0.8810327706057597,84.0,Popular_Forever
ROCKSTAR feat Roddy Ricch,"DaBaby, Roddy Ricch",0.746,0.69,0.164,0.247,0.0,0.101,0.497,0.1826876080565506,4,2020,"Pop,Rap,Hip Hop",0.6536246276067528,79.0,Semi_Popular
Watermelon Sugar,Harry Styles,0.548,0.816,0.0465,0.122,0.0,0.335,0.557,0.2221752102771355,4,2019,Pop,0.9016881827209532,88.0,Popular_Forever
death bed coffee for your head,"Powfu, beabadoobee",0.726,0.431,0.135,0.731,0.0,0.696,0.348,0.5769727387457053,4,2020,"Pop,Rock,Rap",0.600066203243959,83.0,Semi_Popular
Falling,Trevor Daniel,0.785,0.431,0.0364,0.123,0.0,0.0887,0.236,0.45338887227259794,4,2020,Rap,0.6006620324395896,80.0,Semi_Popular
Someone You Loved,Lewis Capaldi,0.501,0.405,0.0319,0.751,0.0,0.105,0.446,0.32795938167944505,4,2019,Pop,0.8043694141012909,90.0,Popular_Forever
Tusa,"KAROL G, Nicki Minaj",0.803,0.715,0.298,0.295,0.000134,0.0574,0.574,0.26371999037065674,4,2019,"Pop,Latino,Rap,Hip Hop",0.9631909963588215,77.0,Semi_Popular
ROXANNE,Arizona Zervas,0.621,0.601,0.148,0.0522,0.0,0.46,0.457,0.377886067361633,5,2019,"Pop,Rock,Rap",0.8085402184707051,78.0,Semi_Popular
Circles,Post Malone,0.695,0.762,0.0395,0.192,0.00244,0.0863,0.553,0.4020104901481607,4,2019,"Pop,Rap",0.9488248924197286,88.0,Popular_Forever
Blueberry Faygo,Lil Mosey,0.774,0.554,0.0383,0.207,0.0,0.132,0.349,0.24875803357139215,4,2020,Rap,0.6567361800728236,76.0,Semi_Popular
Intentions feat Quavo,"Justin Bieber, Quavo",0.806,0.546,0.0575,0.3,0.0,0.102,0.874,0.60586076845077,4,2020,"Pop,Rap,Hip Hop",0.740946706388613,76.0,Semi_Popular
Toosie Slide,Drake,0.83,0.49,0.209,0.289,3.04e-06,0.113,0.845,0.12160693312712922,4,2020,"Pop,Rap,Hip Hop",0.5964250248262165,70.0,Not_so_popular
Before You Go,Lewis Capaldi,0.459,0.575,0.0573,0.604,0.0,0.0885,0.183,0.3424763461019398,4,2019,Pop,0.8587222773915922,86.0,Popular_Forever
Say So,Doja Cat,0.787,0.673,0.159,0.264,3.35e-06,0.0904,0.779,0.3357722806224058,4,2019,Pop,0.8769281694803046,79.0,Semi_Popular
Memories,Maroon 5,0.775,0.327,0.0557,0.841,0.0,0.0821,0.595,0.19051509691350377,4,2021,Pop,0.7009599470374048,86.0,Popular_Forever
Life Is Good feat Drake,"Future, Drake",0.795,0.574,0.487,0.067,0.0,0.15,0.537,0.5625797885921464,4,2020,"Pop,Rap,Hip Hop",0.7233366434955313,75.0,Semi_Popular
Savage Love Laxed - Siren Beat,"Jawsh 685, Jason Derulo",0.767,0.481,0.0803,0.234,0.0,0.269,0.761,0.6211072285728876,4,2020,Pop,0.6162859980139028,75.0,Semi_Popular
Adore You,Harry Styles,0.676,0.771,0.0483,0.0237,7e-06,0.102,0.569,0.24886016296933933,4,2019,Pop,0.9370407149950348,85.0,Popular_Forever
Breaking Me,"Topic, A7S",0.789,0.72,0.218,0.223,0.0,0.129,0.664,0.4165201596136592,4,2019,"Pop,Hip Hop",0.8061569016881828,78.0,Semi_Popular
Mood feat iann dior,"24kGoldn, iann dior",0.701,0.716,0.0361,0.174,0.0,0.324,0.732,0.19020141376266597,4,2021,"Pop,Rap",0.9373055279708706,82.0,Semi_Popular
everything i wanted,Billie Eilish,0.704,0.225,0.0994,0.902,0.657,0.106,0.243,0.40174787169629644,4,2019,Pop,0.2234359483614697,86.0,Popular_Forever
Seorita,"Shawn Mendes, Camila Cabello",0.759,0.548,0.029,0.0392,0.0,0.0828,0.749,0.379578497384758,4,2019,Pop,0.779874213836478,82.0,Semi_Popular
bad guy,Billie Eilish,0.701,0.425,0.375,0.328,0.13,0.1,0.562,0.5120622113932638,4,2019,Pop,0.4544190665342602,84.0,Popular_Forever
WAP feat Megan Thee Stallion,"Cardi B, Megan Thee Stallion",0.935,0.454,0.375,0.0194,0.0,0.0824,0.357,0.4970710747660144,4,2020,"Pop,Rap,Jazz",0.6832174776564052,80.0,Semi_Popular
Sunday Best,Surfaces,0.869,0.555,0.0454,0.137,0.0,0.0746,0.738,0.34336633085547963,4,2019,Jazz,0.78417742469381,75.0,Semi_Popular
Godzilla feat Juice WRLD,"Eminem, Juice WRLD",0.808,0.745,0.342,0.145,0.0,0.292,0.829,0.7372356489958494,4,2020,"Rap,Hip Hop",0.8321085733200928,85.0,Popular_Forever
