track_name,release_year,year_distribution
0800 HEAVEN,2023,"{2014: 0.0, 2015: 0.021479713603818614, 2016: 0.011933174224343675, 2017: 0.0, 2018: 0.00954653937947494, 2019: 0.016706443914081145, 2020: 0.011933174224343675, 2021: 0.0, 2022: 0.014319809069212411, 2023: 0.9140811455847255}"
1 2 3 feat Jason Derulo  De La Ghetto,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0005238344683080147, 2017: 0.0, 2018: 0.3750654793085385, 2019: 0.2718700890518596, 2020: 0.11891042430591933, 2021: 0.05657412257726559, 2022: 0.13986380303823992, 2023: 0.03719224724986904}"
1-800-273-8255,2017,"{2014: 0.0007763975155279503, 2015: 0.0, 2016: 0.0007763975155279503, 2017: 0.18090062111801242, 2018: 0.4200310559006211, 2019: 0.1327639751552795, 2020: 0.09937888198757763, 2021: 0.06133540372670807, 2022: 0.059006211180124224, 2023: 0.04503105590062112}"
10000 Hours with Justin Bieber,2019,"{2014: 0.050682261208576995, 2015: 0.03216374269005848, 2016: 0.024366471734892786, 2017: 0.0, 2018: 0.0, 2019: 0.04580896686159844, 2020: 0.5458089668615984, 2021: 0.16374269005847952, 2022: 0.10136452241715399, 2023: 0.036062378167641324}"
1035,2022,"{2014: 0.013120899718837863, 2015: 0.004686035613870665, 2016: 0.008434864104967198, 2017: 0.004686035613870665, 2018: 0.007497656982193065, 2019: 0.0, 2020: 0.013120899718837863, 2021: 0.0037488284910965324, 2022: 0.056232427366447985, 2023: 0.8884723523898782}"
1950,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.7308707124010554, 2019: 0.11741424802110818, 2020: 0.0712401055408971, 2021: 0.04617414248021108, 2022: 0.01978891820580475, 2023: 0.014511873350923483}"
2002,2018,"{2014: 0.04720692368214005, 2015: 0.05192761605035405, 2016: 0.04878048780487805, 2017: 0.0, 2018: 0.0, 2019: 0.28560188827694727, 2020: 0.16522423288749016, 2021: 0.2022029897718332, 2022: 0.16129032258064516, 2023: 0.03776553894571204}"
24K Magic,2016,"{2014: 0.0, 2015: 0.0, 2016: 0.271461716937355, 2017: 0.4396751740139211, 2018: 0.11252900232018562, 2019: 0.05568445475638051, 2020: 0.04060324825986079, 2021: 0.02668213457076566, 2022: 0.027842227378190254, 2023: 0.025522041763341066}"
3 Nights,2018,"{2014: 0.0, 2015: 0.0012091898428053204, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.373639661426844, 2020: 0.18863361547763, 2021: 0.154776299879081, 2022: 0.1825876662636034, 2023: 0.09915356711003627}"
3435,2020,"{2014: 0.0049261083743842365, 2015: 0.0, 2016: 0.007389162561576354, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.37438423645320196, 2021: 0.42610837438423643, 2022: 0.1206896551724138, 2023: 0.0665024630541872}"
