folder,label,tempo,zcr,beats,spec_centroid,rms_mode,rms_max,rms_avg,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,SpecCon0,SpecCon1,SpecCon2,SpecCon3,ton0,ton1,ton2,ton3,ton4,ton5,chr0,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11
21 Savage - Bank Account,<pad> anger,151.99908088235293,0.0530693933339477,543,1702.0968509557429,0.1,0.6,0.26255533,-149.79782,116.79124,4.4021993,25.41165,27.293766,4.0898814,2.3304875,16.48197,-12.341891,15.748338,15.314052581757704,18.54852917534005,16.725494021472223,44.9100439130486,-0.1037873901798281,-0.1775562492962465,-0.2314617293342163,-0.0071870989225744,0.0704057819561191,-0.0482614909341806,0.619351,0.70321983,0.61715394,0.5529149,0.56677806,0.5616919,0.56564397,0.53927237,0.67168915,0.5777624,0.5462545,0.57625294
Adele - Hello,<pad> sadness,161.4990234375,0.0727373779065169,897,1645.786870466256,0.0,0.6,0.18260045,-162.23422,109.39017,7.245535,14.979752,8.117312,8.707677,1.1061774,8.649444,-0.12250277,7.99665,15.832222648332351,17.91511314404144,19.54130461060355,43.85274304821735,-0.160155125209216,0.0294343803695603,-0.0128574180495723,0.0636626492840158,-0.0023501584814177,-0.013627095987999,0.42412025,0.3595988,0.30550876,0.38764238,0.30845466,0.378844,0.28338245,0.34824404,0.46685487,0.35546187,0.439175,0.3556503
Adele - When We Were Young,<pad> love,143.5546875,0.0612700537588892,809,1607.3417822516155,0.2,0.5,0.18414494,-165.25458,117.11983,11.080594,24.037275,2.1984932,9.81129,-0.45398203,10.414924,-3.9871614,12.234763,16.820325135893302,20.55375242232675,22.62338717045711,44.87553143103912,-0.1156550411890042,0.1090718441251435,0.0878298970745151,0.0060668964884465,-0.0007457776903128,-0.016359312236268,0.2783159,0.25592774,0.36865017,0.50183743,0.3385207,0.39149895,0.3545384,0.4163579,0.40168777,0.3886423,0.43919778,0.31540194
After School - DIVA,<pad> love,129.19921875,0.1825916452249003,419,3356.2864350914647,0.2,0.4,0.18142153,-15.445424,47.976788,-11.145503,13.504592,0.35511622,5.527681,-2.4772272,3.6923733,-1.3639892,4.7988143,14.71725244467929,17.61535818460424,18.53826399396299,38.72676038670256,0.0705321133788613,-0.0129797131882672,0.0374630193860465,-0.0085750934351109,0.0029615441158492,-0.0049271989765769,0.35697007,0.3478329,0.43631953,0.35760683,0.4498722,0.33026212,0.4116372,0.46536642,0.38064563,0.44102123,0.39400867,0.54143775
Alan Walker - Faded,<pad> fear,89.10290948275862,0.0939700358712865,290,2275.739353201201,0.3,0.5,0.24692006,-63.152714,94.488205,2.4554863,16.52127,2.9905555,6.287626,6.392021,5.2817874,2.561632,5.514553,16.394703484293387,20.56441935048011,22.901018162949757,40.90411135531961,-0.0993563403199601,-0.0616080738159089,0.043035878153748,-0.0779913294298127,0.0282169990491102,-0.001595269816115,0.26468453,0.39471194,0.24719246,0.2873225,0.22828858,0.38541928,0.43334353,0.25481102,0.31599045,0.28909042,0.52152157,0.31308576
Alessia Cara - Here,<pad> anger,61.5234375,0.0876395228054542,200,2058.828383602736,0.3,0.6,0.28863838,-63.606213,93.873856,-3.2618382,28.998201,-7.9334426,11.103289,2.465712,2.2504485,5.162577,-0.2477077,15.0644707584944,19.383045894187923,21.28311105410838,42.87375939817795,0.069561974249489,0.0868406847471329,0.0188978076743783,-0.0745059523549693,-0.0349914885879811,-0.0117861567953564,0.42566568,0.3651295,0.486913,0.3268635,0.32447457,0.42216033,0.33892122,0.3899388,0.33235544,0.43074414,0.32659516,0.34174737
Alok - Hear Me Now,<pad> sadness,123.046875,0.0597538465864202,461,1441.8601427744827,0.1,0.6,0.16436973,-169.0441,127.93941,4.952138,11.637892,2.3308349,-1.1818484,-0.58688486,0.5512449,-9.940882,-2.2986834,16.48098244730357,20.443501533305884,23.272364148237752,43.73036736713791,-0.1056810376304929,-0.1174906458157875,0.0648003468545487,-0.0867561424836393,-0.0065275407376559,0.0137821796222984,0.21756339,0.2529812,0.25308505,0.39493647,0.21875727,0.28552443,0.48545155,0.2610802,0.27996936,0.28369206,0.4884844,0.4351886
Alpines - Alright,<pad> love,172.265625,0.0465584105613932,685,1395.166181673342,0.3,0.6,0.26120842,-136.1859,132.95778,7.3788066,23.884914,11.044437,0.71556103,20.284576,-0.14562751,4.193983,11.863448,17.787398934223468,19.604424900658127,20.7372046583298,44.04756699225575,0.2053960041396942,0.1644424176135965,-0.0772918039600931,0.0517445991012298,0.019160213070321,0.0479602205999309,0.44276148,0.3908374,0.4321274,0.40142706,0.35468793,0.2997134,0.27601275,0.42353106,0.4415074,0.54950565,0.43380973,0.37181816
Alpines - Out of View,<pad> joy,198.76802884615384,0.0580366668606455,691,1474.703626819572,0.3,0.5,0.27979517,-112.61866,125.71524,-7.3081574,45.66504,9.500428,8.99568,16.00394,0.18423413,-0.4509723,13.600326,14.677383246814813,19.81127303939037,20.113315120227917,46.61298130202281,0.1211043350246324,0.2676268654767584,0.0284322240809392,-0.0010472177853268,-0.0111818466620031,-0.030997737867774,0.34438187,0.30344954,0.36729673,0.3405048,0.36052054,0.4285253,0.45892856,0.6855447,0.5494693,0.47757387,0.3554144,0.28480294
Aly & AJ - Take Me,<pad> joy,99.38401442307692,0.0831788340853562,347,1800.9273010723527,0.3,0.6,0.2337537,-79.97536,110.87924,-10.03428,20.781769,-2.7062593,6.49669,-0.25978565,1.1293896,-1.5380373,2.5815103,14.644717710247116,17.82197766639521,18.3292719744952,44.4889610375198,0.1339256246956002,0.0039421761433919,0.006498248880563,-0.0751992072391364,-0.0068631104625499,-0.0078313843550491,0.28875276,0.3807044,0.53502184,0.36186978,0.43752795,0.30958217,0.4349191,0.3543614,0.33132344,0.46809512,0.36124834,0.39928785
