folder,tempo,zcr,beats,spec_centroid,rms_mode,rms_max,rms_avg,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,SpecCon0,SpecCon1,SpecCon2,SpecCon3,ton0,ton1,ton2,ton3,ton4,ton5,chr0,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11
21 Savage - Bank Account,151.99908088235293,0.05306939333394776,543,1702.0968509557429,0.1,0.6,0.26255533,-58.756176,107.89265,6.046145,22.776552,26.001886,4.7478056,0.24028637,18.097746,-14.669739,16.536753,15.314052581757705,18.54852917534005,16.725494021472223,44.9100439130486,-0.10378739017982816,-0.17755624929624655,-0.23146172933421633,-0.0071870989225744615,0.07040578195611916,-0.04826149093418066,0.619351,0.70321983,0.61715394,0.5529149,0.56677806,0.5616919,0.56564397,0.53927237,0.67168915,0.5777624,0.5462545,0.57625294
"24kGoldn, iann dior-Mood feat iann dior",92.28515625,0.07449185901577689,225,2059.1874715967338,0.3,0.4,0.19530937,-11.8992,96.720436,-3.107002,20.020536,-1.5549152,6.486904,-1.2933145,4.4140444,-7.157808,9.007626,15.749347620546654,19.046993381267402,18.760798894421367,43.46637086400481,-0.04455570223788712,0.1375688321897807,0.02168481561131545,-0.029545859655584195,0.012012031872462891,-0.010436987905664491,0.5369777,0.3698331,0.41135997,0.31925243,0.32376397,0.43558806,0.354733,0.44452783,0.362522,0.44156182,0.52232945,0.40827078
A Boogie Wit da Hoodie - Drowning (feat. Kodak Black),129.19921875,0.092955838925244,416,2182.5739730043542,0.2,0.6,0.23757766,9.84968,101.90771,6.6573415,10.333167,-7.629077,3.4812381,-7.700372,1.1530118,-10.583709,-0.7069915,16.084540942288893,19.887501984525812,20.402980958574066,41.68295407861877,-0.027700587986986956,0.07575448667267161,0.07224411615206176,0.024559692111882324,0.00022632883142463878,-0.011091489386541295,0.42171782,0.3168997,0.37261474,0.35711446,0.29101172,0.4014162,0.37448573,0.59891766,0.41777912,0.2858899,0.32323185,0.38341364
Adele - Hello,161.4990234375,0.07273737790651692,897,1645.786870466256,0.0,0.6,0.18260045,-88.914604,108.343735,5.59619,14.772179,7.5889173,8.924077,0.82001543,8.466233,-0.092864856,7.8735795,15.832222648332353,17.91511314404144,19.54130461060355,43.85274304821735,-0.16015512520921607,0.0294343803695603,-0.012857418049572376,0.06366264928401585,-0.0023501584814177275,-0.013627095987999077,0.42412025,0.3595988,0.30550876,0.38764238,0.30845466,0.378844,0.28338245,0.34824404,0.46685487,0.35546187,0.439175,0.3556503
Adele - Send My Love (To Your New Lover),161.4990234375,0.06732258308838697,595,1821.5975643800973,0.2,0.6,0.24867989,-51.794033,96.21794,10.438383,28.944227,11.601635,11.0649805,5.958173,11.533532,-3.7956805,10.693504,16.517587556856288,20.17952290180205,20.96519415632036,41.33804204421902,0.03935920671601928,-0.0148954017129631,0.05989894197232034,-0.07940383060320368,-0.025894173854290346,-0.002351880035006399,0.41029918,0.4324647,0.51896065,0.4018405,0.36151454,0.34151143,0.4471359,0.3505688,0.32835364,0.41567042,0.37780645,0.4424178
Adele - When We Were Young,143.5546875,0.06127005375888926,809,1607.3417822516155,0.2,0.5,0.18414494,-91.52244,115.392044,8.05068,24.270105,1.5185162,9.642262,-1.352285,10.5415,-4.1170735,11.785142,16.820325135893302,20.55375242232675,22.62338717045711,44.875531431039114,-0.11565504118900427,0.10907184412514352,0.08782989707451512,0.006066896488446579,-0.0007457776903128179,-0.016359312236268037,0.2783159,0.25592774,0.36865017,0.50183743,0.3385207,0.39149895,0.3545384,0.4163579,0.40168777,0.3886423,0.43919778,0.31540194
Adele-Easy On Me,143.5546875,0.06319340557190971,498,1634.5745086609716,0.2,0.5,0.21129166,-75.12819,118.54124,18.485737,10.384211,5.236535,6.6691685,-1.3777672,5.1958156,-8.182071,3.7857726,19.16588066972339,23.053430037892404,25.66614243680928,45.61787366317404,-0.013691622712779416,0.25580709264195617,-0.12649660523819378,-0.026275366159082863,0.0029583073894349876,-0.011856294664524028,0.4363348,0.22397427,0.20249522,0.15256314,0.25774142,0.465981,0.23571572,0.27481034,0.21266924,0.29841736,0.3178471,0.28051043
aespa-Better Things,117.45383522727273,0.09307288253107097,439,2321.9064707072557,0.2,0.5,0.19447522,-13.220206,84.301254,-1.4841067,12.319372,1.656224,6.514151,1.9611305,-1.7240524,2.9752455,4.1835485,16.198299278412478,18.660264551313634,18.240727671153742,39.05365093434603,0.08727376234477628,0.06150238047762195,0.011491140877445061,-0.026065640018209255,-0.007314395110843694,-0.005878845233802882,0.38195765,0.33117196,0.45136914,0.33331892,0.3442475,0.3434423,0.34722084,0.41701323,0.3453019,0.43933108,0.31770274,0.39012405
After School - DIVA,129.19921875,0.18259164522490032,419,3356.2864350914647,0.2,0.4,0.18142153,59.800476,50.465755,-11.781815,13.329681,0.7061755,5.752418,-2.12406,4.404441,-1.0500808,4.829579,14.71725244467929,17.61535818460424,18.53826399396299,38.72676038670256,0.0705321133788613,-0.012979713188267208,0.037463019386046584,-0.008575093435110927,0.0029615441158492607,-0.004927198976576942,0.35697007,0.3478329,0.43631953,0.35760683,0.4498722,0.33026212,0.4116372,0.46536642,0.38064563,0.44102123,0.39400867,0.54143775
Alan Walker - Faded,89.10290948275862,0.09397003587128659,290,2275.7393532012015,0.3,0.5,0.24692006,11.455593,93.65254,1.0662435,16.125546,2.8921413,6.891233,6.419148,5.7484965,2.472697,5.4959674,16.394703484293387,20.56441935048011,22.901018162949754,40.90411135531961,-0.09935634031996012,-0.06160807381590893,0.04303587815374808,-0.07799132942981277,0.02821699904911025,-0.0015952698161150818,0.26468453,0.39471194,0.24719246,0.2873225,0.22828858,0.38541928,0.43334353,0.25481102,0.31599045,0.28909042,0.52152157,0.31308576
